Классы
	Animatable	Абстрактный класс, который обеспечивает поддержку анимации. 
	AnimationClock	Обслуживает состояние времени выполнения объекта AnimationTimeline и обрабатывает его выходные значения. 
	AnimationException	Исключение, вызванное при возникновении ошибки во время анимации свойства.
	AnimationTimeline	Определяет сегмент времени, за который создаются выходные значения. Эти значения используются для анимации целевого свойства.
	BeginStoryboard	Действия триггера, которое начинает событие Storyboard и распределяет анимации по целевым объектам и свойствам.
	BooleanAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Boolean. 
	BooleanAnimationUsingKeyFrames	Выполняет анимацию значения свойства, которое принимает значение Boolean, по набору объектов KeyFrames в соответствии со свойством Duration. 
	BooleanKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта BooleanAnimationUsingKeyFrames. 
	BooleanKeyFrameCollection	Представляет коллекцию объектов BooleanKeyFrame. 
	ByteAnimation	Выполняет анимацию значения свойства Byte между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	ByteAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Byte. 
	ByteAnimationUsingKeyFrames	Выполняет анимацию значения свойства Byte по набору KeyFrames.
	ByteKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта ByteAnimationUsingKeyFrames. 
	ByteKeyFrameCollection	Представляет коллекцию объектов ByteKeyFrame. 
	CharAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Char. 
	CharAnimationUsingKeyFrames	Выполняет анимацию значения свойства Char по набору KeyFrames в соответствии с указанным значением Duration. 
	CharKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта CharAnimationUsingKeyFrames. 
	CharKeyFrameCollection	Представляет коллекцию объектов CharKeyFrame. 
	Clock	Обеспечивает расчет времени для объекта Timeline во время выполнения. 
	ClockCollection	Представляет упорядоченную коллекцию объектов Clock. 
	ClockController	Осуществляет интерактивное управление объектом Clock.
	ClockGroup	Структура типов Clock с поведением, основанным на объекте TimelineGroup.
